Combined EQU and Label Definitions:
DIR_SIZE (EQU) in mos_api.inc: DIR_SIZE:         EQU FFOBJID_SIZE + 31  ; Total size of DIR structure
DISPAT (label) in math.asm: Line 74
DISPATev (label) in eval.asm: Line 1989
DISPT0 (label) in eval.asm: Line 1992
DISPT2 (label) in eval.asm: Line 1985
DIV0 (label) in math.asm: Line 2098
DIV1 (label) in math.asm: Line 2107
DIV2 (label) in math.asm: Line 1796
DIVA (label) in math.asm: Line 2097
DIVB (label) in math.asm: Line 2116
DIVBY0 (EQU) in math.asm: DIVBY0:         EQU	18		;Division by zero
DIVC (label) in math.asm: Line 2108
DIV_ (EQU) in eval.asm: DIV_:           EQU	81H
DLOAD1 (label) in eval.asm: Line 722
DLOAD4 (label) in eval.asm: Line 714
DLOAD5 (label) in eval.asm: Line 713
DLOADN (label) in eval.asm: Line 708
DLP1 (label) in main.asm: Line 2024
DLPAIR (label) in main.asm: Line 2016
DOIT (label) in eval.asm: Line 1946
DONE (label) in math.asm: Line 928
DOSPC (label) in exec.asm: Line 3001
DOTAB (label) in exec.asm: Line 2972
DOTAB1 (label) in exec.asm: Line 2989
DO_KEYBOARD (label) in agon_interrupt.asm: Line 77
DO_KEYBOARD_0 (label) in agon_interrupt.asm: Line 83
DO_KEYBOARD_1 (label) in agon_interrupt.asm: Line 88
DRAW (label) in acorn.asm: Line 499
DSRCH (label) in exec.asm: Line 3063
DTABLE (label) in math.asm: Line 91
DYNVAR (label) in data.asm: Line 72
ED (label) in asmb.asm: Line 467
EEK (label) in acorn.asm: Line 744
ELLIP0 (label) in acorn.asm: Line 464
ELLIPS (label) in acorn.asm: Line 460
ENCODE (label) in main.asm: Line 2178
ENDFUN (label) in eval.asm: Line 770
ENDIM (label) in exec.asm: Line 330
ENDPR1 (label) in exec.asm: Line 1385
ENDPRO (label) in exec.asm: Line 1374
ENDWH1 (label) in exec.asm: Line 1791
ENDWHI (label) in exec.asm: Line 1777
ENVEL (label) in acorn.asm: Line 254
ENVEL1 (label) in acorn.asm: Line 258
ENVEL2 (label) in acorn.asm: Line 272
EOF (label) in eval.asm: Line 886
EOR (EQU) in eval.asm: EOR:            EQU	82H
EQUALS (label) in exec.asm: Line 2955
ERL (label) in data.asm: Line 88
ERLV (label) in eval.asm: Line 928
ERR (label) in data.asm: Line 93
ERROR0 (label) in main.asm: Line 1183
ERROR0ev (label) in eval.asm: Line 643
ERROR0ex (label) in exec.asm: Line 500
ERROR1 (label) in main.asm: Line 1191
ERROR1ev (label) in eval.asm: Line 1983
ERROR1ex (label) in exec.asm: Line 673
ERROR2 (label) in main.asm: Line 1210
ERROR2ev (label) in eval.asm: Line 416
ERROR2ex (label) in exec.asm: Line 912
ERROR3 (label) in main.asm: Line 1650
ERROR3ex (label) in exec.asm: Line 1097
ERROR4 (label) in main.asm: Line 1198
ERROR4ex (label) in exec.asm: Line 1613
ERROR5 (label) in exec.asm: Line 1841
ERROR_ (label) in main.asm: Line 1177
ERROR_mat (label) in math.asm: Line 56
ERRTRP (label) in data.asm: Line 84
ERRTXT (label) in data.asm: Line 86
ERRV (label) in eval.asm: Line 930
ERRWDS (label) in main.asm: Line 675
ESC (EQU) in equs.inc: ESC:			EQU     1BH
ESCAPE (label) in exec.asm: Line 495
ESCDIS (label) in agon_os.asm: Line 196
ESCSET (label) in agon_os.asm: Line 191
ESCTEST (label) in agon_os.asm: Line 203
EVAL_ (label) in eval.asm: Line 1164
EXIT (label) in asmb.asm: Line 571
EXIT0 (label) in exec.asm: Line 2245
EXIT1 (label) in exec.asm: Line 2247
EXIT4 (label) in exec.asm: Line 2274
EXIT5 (label) in exec.asm: Line 2286
EXIT6 (label) in exec.asm: Line 2291
EXIT7 (label) in exec.asm: Line 2297
EXIT8 (label) in exec.asm: Line 2301
EXITex (label) in exec.asm: Line 2238
EXITmat (label) in math.asm: Line 50
EXP (label) in math.asm: Line 945
EXP0 (label) in math.asm: Line 946
EXP1 (label) in math.asm: Line 961
EXP2 (label) in math.asm: Line 1004
EXP3 (label) in math.asm: Line 1005
EXP3S3 (label) in eval.asm: Line 359
EXP4 (label) in math.asm: Line 999
EXPR (label) in eval.asm: Line 233
EXPR0A (label) in eval.asm: Line 234
EXPR0B (label) in eval.asm: Line 238
EXPR1 (label) in eval.asm: Line 243
EXPR1A (label) in eval.asm: Line 244
EXPR2 (label) in eval.asm: Line 251
EXPR2B (label) in eval.asm: Line 264
EXPR2C (label) in eval.asm: Line 272
EXPR2D (label) in eval.asm: Line 273
EXPR2S (label) in eval.asm: Line 291
EXPR3 (label) in acorn.asm: Line 720
EXPR3A (label) in eval.asm: Line 322
EXPR3B (label) in eval.asm: Line 329
EXPR3S (label) in eval.asm: Line 334
EXPR3ev (label) in eval.asm: Line 321
EXPR4 (label) in eval.asm: Line 368
EXPR45 (label) in eval.asm: Line 382
EXPR4A (label) in eval.asm: Line 369
EXPR4B (label) in eval.asm: Line 377
EXPR5 (label) in eval.asm: Line 387
EXPR5A (label) in eval.asm: Line 390
EXPRA (label) in eval.asm: Line 2106
EXPRA1 (label) in eval.asm: Line 2108
EXPRA2 (label) in eval.asm: Line 2127
EXPRA3 (label) in eval.asm: Line 2140
EXPRA4 (label) in eval.asm: Line 2142
EXPRA5 (label) in eval.asm: Line 2164
EXPRA6 (label) in eval.asm: Line 2170
EXPRA7 (label) in eval.asm: Line 2177
EXPRA8 (label) in eval.asm: Line 2181
EXPRI (label) in eval.asm: Line 405
EXPRN (label) in eval.asm: Line 400
EXPRNG (EQU) in math.asm: EXPRNG:         EQU	24		;Exp range
EXPRS (label) in eval.asm: Line 410
EXPev (label) in eval.asm: Line 1102
EXT (label) in exec.asm: Line 384
EXTERR (label) in main.asm: Line 1189
EXTRAS (label) in exec.asm: Line 372
EXTRASev (label) in eval.asm: Line 756
EXT_DEFAULT (label) in agon_os.asm: Line 595
EXT_HANDLER (label) in agon_os.asm: Line 610
EXT_HANDLER_1 (label) in agon_os.asm: Line 615
EXT_HANDLER_2 (label) in agon_os.asm: Line 634
EXT_LOOKUP (label) in agon_os.asm: Line 644
EXTev (label) in eval.asm: Line 966
FADD (label) in math.asm: Line 279
FADD3 (label) in math.asm: Line 306
FADD4 (label) in math.asm: Line 310
FAND (label) in math.asm: Line 170
FBDIV (label) in math.asm: Line 245
FCOMP (label) in math.asm: Line 1834
FCOMP0 (label) in math.asm: Line 1838
FCOMP1 (label) in math.asm: Line 1844
FCP (label) in math.asm: Line 1867
FCP0 (label) in math.asm: Line 1870
FCP1 (label) in math.asm: Line 1882
FDIV (label) in math.asm: Line 333
FEOR (label) in math.asm: Line 190
FEQ (label) in math.asm: Line 585
FETCHS (label) in exec.asm: Line 3026
FFOBJID_SIZE (EQU) in mos_api.inc: FFOBJID_SIZE:     EQU 15   ; Total size of FFOBJID structure
FGE (label) in math.asm: Line 566
FGT (label) in math.asm: Line 559
FILINFO_SIZE (EQU) in mos_api.inc: FILINFO_SIZE:     EQU 278  ; Total size of FILINFO structure
FILL (label) in acorn.asm: Line 502
FILL1 (label) in exec.asm: Line 3010
FIN (label) in asmb.asm: Line 1014
FIND (label) in asmb.asm: Line 570
FIND0 (label) in asmb.asm: Line 579
FIND1 (label) in asmb.asm: Line 585
FIND2 (label) in asmb.asm: Line 592
FIND3 (label) in asmb.asm: Line 593
FIND4 (label) in asmb.asm: Line 603
FIND5 (label) in asmb.asm: Line 606
FIND6 (label) in asmb.asm: Line 609
FINDL (label) in main.asm: Line 1526
FINDL1 (label) in main.asm: Line 1534
FIX (label) in math.asm: Line 1563
FIX1 (label) in math.asm: Line 1567
FIX2 (label) in math.asm: Line 1581
FLAGS (label) in data.asm: Line 21
FLE (label) in math.asm: Line 572
FLO48 (label) in math.asm: Line 1698
FLOAT (label) in math.asm: Line 1714
FLOAT2 (label) in math.asm: Line 1733
FLOATA (label) in math.asm: Line 1729
FLT (label) in math.asm: Line 553
FMOD (label) in math.asm: Line 230
FMUL (label) in math.asm: Line 406
FN (label) in exec.asm: Line 1102
FNCHK (EQU) in exec.asm: FNCHK:          EQU	$
FNE (label) in math.asm: Line 579
FNEND (label) in exec.asm: Line 518
FNEND1 (label) in exec.asm: Line 524
FNEND2 (label) in exec.asm: Line 530
FNEND3 (label) in exec.asm: Line 541
FNPTR (label) in data.asm: Line 73
FONE (label) in math.asm: Line 921
FOR (label) in math.asm: Line 210
FOR1 (label) in exec.asm: Line 1011
FOR2 (label) in exec.asm: Line 1015
FORCHK (EQU) in exec.asm: FORCHK:         EQU	$
FORMAT (label) in exec.asm: Line 2962
FORVAR (label) in exec.asm: Line 911
FORex (label) in exec.asm: Line 983
FPI180 (label) in math.asm: Line 711
FPOW (label) in math.asm: Line 529
FPOW0 (label) in math.asm: Line 522
FPOW1 (label) in math.asm: Line 543
FPP (label) in math.asm: Line 45
FPP1 (label) in eval.asm: Line 1136
FPPN (label) in eval.asm: Line 1133
FREE (label) in data.asm: Line 78
FREES0 (label) in exec.asm: Line 3258
FREES1 (label) in exec.asm: Line 3265
FREES2 (label) in exec.asm: Line 3283
FREESA (label) in exec.asm: Line 3257
FSUB (label) in math.asm: Line 260
FTABLE (label) in math.asm: Line 108
FTEST (label) in math.asm: Line 1812
FUNTBL (label) in eval.asm: Line 138
FUNTBL_END (EQU) in eval.asm: FUNTBL_END:     EQU	$
FUNTOK (EQU) in eval.asm: FUNTOK:         EQU	8DH		;1st FUNCTION TOKEN
G4 (label) in asmb.asm: Line 212
G6 (label) in asmb.asm: Line 227
G6HL (label) in asmb.asm: Line 235
G9 (label) in eval.asm: Line 1823
GCOL (label) in acorn.asm: Line 379
GCOL0 (label) in acorn.asm: Line 389
GET (label) in eval.asm: Line 896
GET0 (label) in eval.asm: Line 905
GET1 (label) in eval.asm: Line 1510
GET2 (label) in eval.asm: Line 1513
GET3 (label) in eval.asm: Line 1519
GET4 (label) in eval.asm: Line 1528
GET5 (label) in eval.asm: Line 1535
GET6 (label) in eval.asm: Line 1537
GET7 (label) in eval.asm: Line 1551
GET8 (label) in eval.asm: Line 1553
GET9 (label) in eval.asm: Line 1557
GETAR1 (label) in eval.asm: Line 691
GETARB (label) in eval.asm: Line 700
GETARR (label) in eval.asm: Line 683
GETCSR (label) in acorn.asm: Line 190
GETDAT (label) in exec.asm: Line 1559
GETDEF (label) in main.asm: Line 1788
GETEX1 (label) in math.asm: Line 1494
GETEX2 (label) in math.asm: Line 1511
GETEXP (label) in math.asm: Line 1488
GETEXT (label) in agon_os.asm: Line 343
GETIME (label) in acorn.asm: Line 82
GETIMS (label) in acorn.asm: Line 102
GETOP1 (label) in main.asm: Line 1328
GETOP2 (label) in main.asm: Line 1338
GETPTR (label) in agon_os.asm: Line 308
GETS (label) in eval.asm: Line 1506
GETSCHR (label) in agon_graphics.asm: Line 57
GETSCHR_1 (label) in agon_graphics.asm: Line 82
GETSTR (label) in exec.asm: Line 476
GETTOP (label) in main.asm: Line 1325
GETV0 (label) in main.asm: Line 1768
GETV1 (label) in main.asm: Line 1628
GETV2 (label) in main.asm: Line 1739
GETV3 (label) in main.asm: Line 1696
GETV4 (label) in main.asm: Line 1751
GETV5 (label) in main.asm: Line 1745
GETV6 (label) in main.asm: Line 1747
GETV7 (label) in main.asm: Line 1752
GETV8 (label) in main.asm: Line 1756
GETV9 (label) in main.asm: Line 1758
GETVA (label) in main.asm: Line 1759
GETVAR (label) in main.asm: Line 1664
GETVF (label) in main.asm: Line 1749
GETVX (label) in main.asm: Line 1729
GETVZ (label) in main.asm: Line 1733
GOSCHK (EQU) in exec.asm: GOSCHK:         EQU	$
GOSUB (label) in exec.asm: Line 932
GOSUB1 (label) in exec.asm: Line 933
GOTO (label) in exec.asm: Line 919
GOTO1 (label) in exec.asm: Line 920
GOTO2 (label) in exec.asm: Line 922
GPIOB_M0 (label) in agon_gpio.asm: Line 38
GPIOB_M1 (label) in agon_gpio.asm: Line 45
GPIOB_M2 (label) in agon_gpio.asm: Line 52
GPIOB_M3 (label) in agon_gpio.asm: Line 59
GPIOB_M4 (label) in agon_gpio.asm: Line 66
GPIOB_M5 (label) in agon_gpio.asm: Line 74
GPIOB_M6 (label) in agon_gpio.asm: Line 81
GPIOB_M7 (label) in agon_gpio.asm: Line 90
GPIOB_M8 (label) in agon_gpio.asm: Line 99
GPIOB_M9 (label) in agon_gpio.asm: Line 107
GPIOB_SETMODE (label) in agon_gpio.asm: Line 24
GPIOMODE_ALTF (EQU) in equs.inc: GPIOMODE_ALTF:		EQU		5;	; Alt Function
GPIOMODE_DIO (EQU) in equs.inc: GPIOMODE_DIO:		EQU		2	; Open Drain IO
GPIOMODE_IN (EQU) in equs.inc: GPIOMODE_IN:		EQU		1	; Input
GPIOMODE_INTAH (EQU) in equs.inc: GPIOMODE_INTAH:		EQU		7	; Interrupt, Active High
GPIOMODE_INTAL (EQU) in equs.inc: GPIOMODE_INTAL:		EQU		6	; Interrupt, Active Low
GPIOMODE_INTD (EQU) in equs.inc: GPIOMODE_INTD:		EQU		4	; Interrupt, Dual Edge
GPIOMODE_INTFE (EQU) in equs.inc: GPIOMODE_INTFE:		EQU		8	; Interrupt, Falling Edge
GPIOMODE_INTRE (EQU) in equs.inc: GPIOMODE_INTRE:		EQU		9	; Interrupt, Rising Edge
GPIOMODE_OUT (EQU) in equs.inc: GPIOMODE_OUT:		EQU		0	; Output
GPIOMODE_SIO (EQU) in equs.inc: GPIOMODE_SIO:		EQU		3	; Open Source IO
GROUP2 (label) in asmb.asm: Line 198
GROUP4 (label) in asmb.asm: Line 210
GROUP5 (label) in asmb.asm: Line 219
GROUP7 (label) in asmb.asm: Line 251
GROUP8 (label) in asmb.asm: Line 269
GROUPA (label) in asmb.asm: Line 294
GROUPB (label) in asmb.asm: Line 318
GROUPC (label) in asmb.asm: Line 334
GROUPD (label) in asmb.asm: Line 343
GROUPE (label) in asmb.asm: Line 354
GROUPF (label) in asmb.asm: Line 363
GRPA (label) in asmb.asm: Line 301
GRPB (label) in asmb.asm: Line 329
GRPC (label) in asmb.asm: Line 335
GRPE (label) in asmb.asm: Line 355
HEX (label) in asmb.asm: Line 127
HEX1 (label) in eval.asm: Line 471
HEX2 (label) in eval.asm: Line 474
HEXDIG (label) in eval.asm: Line 1913
HEXOUT (label) in asmb.asm: Line 134
HEXSP (label) in asmb.asm: Line 124
HEXST1 (label) in eval.asm: Line 1762
HEXST2 (label) in eval.asm: Line 1765
HEXST3 (label) in eval.asm: Line 1779
HEXSTR (label) in eval.asm: Line 1759
HEXSTS (label) in eval.asm: Line 1753
HEXev (label) in eval.asm: Line 468
HIMEM (label) in data.asm: Line 79
HIMEMV (label) in exec.asm: Line 1943
HIMEMVev (label) in eval.asm: Line 918
HUH (label) in agon_os.asm: Line 708
IADD (label) in math.asm: Line 275
IAND (label) in math.asm: Line 171
IBDIV (label) in math.asm: Line 246
ICP (label) in math.asm: Line 1856
ICP0 (label) in math.asm: Line 1873
ICP1 (label) in math.asm: Line 1893
IDIV (label) in math.asm: Line 332
IEOR (label) in math.asm: Line 191
IEQ (label) in math.asm: Line 587
IEQ1 (label) in math.asm: Line 588
IF0 (label) in exec.asm: Line 1576
IF1 (label) in exec.asm: Line 1580
IF2 (label) in exec.asm: Line 1591
IFELSE (label) in exec.asm: Line 1585
IFNEXT (label) in exec.asm: Line 1594
IFNOT (label) in exec.asm: Line 1592
IFTHEN (label) in exec.asm: Line 1604
IF_ (label) in exec.asm: Line 1570
IGE (label) in math.asm: Line 568
IGE1 (label) in math.asm: Line 569
IGT (label) in math.asm: Line 561
IGT1 (label) in math.asm: Line 562
ILE (label) in math.asm: Line 574
ILE1 (label) in math.asm: Line 575
ILT (label) in math.asm: Line 555
ILT1 (label) in math.asm: Line 556
IMOD (label) in math.asm: Line 231
IMUL (label) in math.asm: Line 379
IMUL1 (label) in math.asm: Line 396
INAUTO (label) in main.asm: Line 252
INCC (label) in math.asm: Line 1804
INCREM (label) in data.asm: Line 95
INDADD (label) in main.asm: Line 1464
INDRET (label) in main.asm: Line 1465
INDSUB (label) in main.asm: Line 1462
INE (label) in math.asm: Line 581
INE1 (label) in math.asm: Line 582
INKEY (label) in eval.asm: Line 894
INKEY1 (label) in eval.asm: Line 1569
INKEYS (label) in eval.asm: Line 1566
INNER (label) in eval.asm: Line 2410
INPN1 (label) in exec.asm: Line 1391
INPN2 (label) in exec.asm: Line 1419
INPN3 (label) in exec.asm: Line 1420
INPN4 (label) in exec.asm: Line 1426
INPUT (label) in exec.asm: Line 1437
INPUT0 (label) in exec.asm: Line 1444
INPUT1 (label) in exec.asm: Line 1446
INPUT2 (label) in exec.asm: Line 1466
INPUT3 (label) in exec.asm: Line 1496
INPUT4 (label) in exec.asm: Line 1493
INPUT5 (label) in exec.asm: Line 1494
INPUT6 (label) in exec.asm: Line 1461
INPUT9 (label) in exec.asm: Line 1463
INPUTN (label) in exec.asm: Line 1390
INSTR (label) in eval.asm: Line 1402
INSTR1 (label) in eval.asm: Line 1430
INSTR2 (label) in eval.asm: Line 1436
INT_ (label) in math.asm: Line 753
INT_ev (label) in eval.asm: Line 1072
IOR (label) in math.asm: Line 211
IPOW (label) in math.asm: Line 456
IPOW0 (label) in math.asm: Line 460
IPOW1 (label) in math.asm: Line 462
IPOW2 (label) in math.asm: Line 472
IPOW3 (label) in math.asm: Line 493
IPOW4 (label) in math.asm: Line 516
IPOW5 (label) in math.asm: Line 509
ISAR (label) in math.asm: Line 609
ISAR1 (label) in math.asm: Line 611
ISHL (label) in math.asm: Line 600
ISHL1 (label) in math.asm: Line 602
ISHR (label) in math.asm: Line 620
ISHR1 (label) in math.asm: Line 622
ISHX (label) in math.asm: Line 599
ISUB (label) in math.asm: Line 256
ITEM (label) in eval.asm: Line 535
ITEM0 (label) in eval.asm: Line 544
ITEM1 (label) in eval.asm: Line 453
ITEM2 (label) in eval.asm: Line 564
ITEMA (label) in eval.asm: Line 2197
ITEMA0 (label) in eval.asm: Line 2324
ITEMA1 (label) in eval.asm: Line 2210
ITEMA2 (label) in eval.asm: Line 2241
ITEMA3 (label) in eval.asm: Line 2264
ITEMA4 (label) in eval.asm: Line 2278
ITEMA5 (label) in eval.asm: Line 2315
ITEMA6 (label) in eval.asm: Line 2331
ITEMA7 (label) in eval.asm: Line 2288
ITEMI (label) in eval.asm: Line 442
ITEMN (label) in eval.asm: Line 458
ITEMS (label) in eval.asm: Line 447
KEYASCII (label) in data.asm: Line 26
KEYCOUNT (label) in data.asm: Line 27
KEYDOWN (label) in data.asm: Line 25
KEYWDL (EQU) in main.asm: KEYWDL:         EQU	$-KEYWDS
KEYWDS (label) in main.asm: Line 329
LD16 (label) in asmb.asm: Line 442
LD8 (label) in asmb.asm: Line 454
LDA (label) in asmb.asm: Line 419
LDIN (label) in asmb.asm: Line 388
LDOP (label) in asmb.asm: Line 569
LDOPS (label) in asmb.asm: Line 977
LEFT1 (label) in eval.asm: Line 1620
LEFT2 (label) in eval.asm: Line 1632
LEFT3 (label) in eval.asm: Line 1633
LEFTS (label) in eval.asm: Line 1609
LEFTSL (label) in exec.asm: Line 2118
LEN (label) in eval.asm: Line 913
